LOAN_ACCT_NUM,BORROWER_FIRST_NAME,BORROWER_LAST_NAME,BORROWER_DOB,BORROWER_EMAIL,BORROWER_PHONE,CO_BORROWER_FIRST_NAME,CO_BORROWER_LAST_NAME,PROP_STREET_NUM,PROP_STREET,PROP_SUBURB,PROP_STATE,PROP_POSTCODE,PROP_TYPE,PURCHASE_PRICE,ORIG_AMOUNT,CURRENT_BALANCE,CURRENT_RATE,RATE_TYPE,LOAN_TERM_MONTHS,ORIGINATION_DATE,SETTLEMENT_DATE,STATUS,REPAY_FREQUENCY,REPAY_AMOUNT,LVR,LMI_FLAG,LMI_PREMIUM,EMPLOYER_NAME,EMPLOYMENT_TYPE,GROSS_ANNUAL_INCOME,NET_MONTHLY_INCOME,MONTHLY_EXPENSES,CREDIT_CARD_BALANCE,OTHER_LIABILITIES,PROPERTY_VALUE_EST,VALUATION_DATE,INSURANCE_PROVIDER,BROKER_NAME,BROKER_CODE,BRANCH_CODE,INTERNAL_SCORE,ARREARS_DAYS,ARREARS_AMOUNT,LAST_PAYMENT_DATE,LAST_PAYMENT_AMOUNT,OFFSET_BALANCE,REDRAW_BALANCE,OFFSET_ACCT_NUM,REDRAW_ENABLED,INTEREST_ONLY_FLAG,IO_EXPIRY_DATE,FIXED_RATE_EXPIRY,DISCOUNT_MARGIN,PRODUCT_CODE,PRODUCT_NAME,CHANNEL,PURPOSE,SECURITY_TYPE,TITLE_REF,COUNCIL_AREA,ZONING,NUM_BEDROOMS,NUM_BATHROOMS,LAND_AREA_SQM,FLOOR_AREA_SQM,YEAR_BUILT,STRATA_FLAG,STRATA_LEVY,BODY_CORP_NAME,GUARANTOR_FLAG,GUARANTOR_NAME,GUARANTOR_RELATIONSHIP,FEE_PACKAGE,ANNUAL_FEE,APPLICATION_ID,LOAN_GROUP_ID,SETTLEMENT_AGENT,SOLICITOR_NAME,DISCHARGE_DATE,DISCHARGE_REASON,NOTES,LAST_UPDATED
ACT-0000070,Christopher,Peterson,19/03/1983,christopher.peterson@gmail.com,0456354970,,,42,Banksia Road,Claremont,WA,6010,House,578500.00,459907.50,384444.87,0.480,Variable,360,02/02/2022,16/02/2022,ACTIVE,Fortnightly,1240.76,79.5,N,,Monash University,PAYG,98433.66,5906.02,,,28213.77,663735.72,02/07/2022,IAG,,,BR-049,853,0,0.00,23/03/2025,1240.76,63150.77,,OFF-0000070,N,N,,,1.03,HL-IO-FIX,Interest Only Fixed,Broker,Refinance,Registered Second Mortgage,CT-725884,Claremont Council,Residential,4,2,630,211,1972,N,,,N,,,Silver,295.00,APP-00010069,GRP-000024,PEXA Direct,HWL Ebsworth,,,,19/03/2025
ACT-0000071,Ella,Harris,01/10/1978,ella.harris@icloud.com,0474866872,,,171,Victoria Close,Victor Harbor,SA,5211,House,349900.00,260675.50,186088.41,0.407,Fixed,360,13/06/2017,12/07/2017,ACTIVE,Monthly,1380.57,74.5,N,,,,109549.69,6572.98,7200.89,11980.97,,509285.78,13/11/2017,,PLAN Australia,BRK-4369,BR-164,534,0,0.00,15/01/2025,1380.57,76481.96,,OFF-0000071,N,N,,13/06/2019,,HL-STD-FIX,Standard Fixed,Broker,Renovation,Registered Second Mortgage,CT-202912,Victor Harbor Council,Rural Residential,1,3,774,266,2007,N,,,N,,,Platinum,595.00,APP-00010070,GRP-000024,Conveyancing Works,Mills Oakley,,,,04/03/2025
ACT-0000072,Liam,Williams,01/11/1975,liam.williams@gmail.com,0472578247,,,48,George Way,Surry Hills,NSW,2010,House,587400.00,470507.40,428547.41,0.073,Variable,180,25/05/2024,14/06/2024,ACTIVE,Weekly,644.11,80.1,Y,8217.58,APS Federal,PAYG,,,5585.14,7181.40,18712.77,631044.22,25/10/2025,,,,BR-076,778,0,0.00,03/01/2025,644.11,,,,N,N,,,0.78,HL-SMSF-VAR,SMSF Variable,Phone,Renovation,Registered First Mortgage,CT-253737,Surry Hills Council,Rural Residential,2,2,367,297,2015,N,,,N,,,Silver,295.00,APP-00010071,GRP-000024,Settlex,Holding Redlich,,,,22/03/2025
ACT-0000073,Lucas,Clark,22/06/1981,lucas.clark@icloud.com,0460319620,,,169,King Court,Sutherland,NSW,2232,House,980900.00,648374.90,533419.27,0.382,Variable,300,22/08/2022,24/09/2022,ACTIVE,Monthly,3635.92,66.1,N,,REA Group,Contract,97713.67,5862.82,7139.53,6544.58,20504.65,1132567.69,22/01/2023,,Liberty Network Services,BRK-3556,BR-092,748,0,0.00,05/03/2025,3635.92,631.02,11831.82,OFF-0000073,Y,N,,,0.21,HL-LDL-VAR,Low Doc Variable,Broker,Refinance,Equitable Mortgage,CT-101591,Sutherland Council,Mixed Use,1,2,698,372,1960,N,,,N,,,None,0.00,APP-00010072,GRP-000025,Easy Settlements,HWL Ebsworth,,,,17/03/2025
ACT-0000074,Sophie,Davis,16/04/1978,sophie.davis@hotmail.com,0478075928,Zoe,Morgan,138,Eucalyptus Way,Newtown,NSW,2042,House,547200.00,387964.80,305657.44,0.573,Variable,360,09/10/2019,01/11/2019,ACTIVE,Monthly,2549.41,70.9,N,,Santos Limited,PAYG,,,4471.58,8953.94,,700909.97,09/03/2021,,,,BR-053,736,0,0.00,21/03/2025,2549.41,,,,N,N,,,0.37,HL-INV-VAR,Investor Variable,Phone,Equity Release,Registered Second Mortgage,CT-434006,Newtown Council,Residential,4,1,803,299,1979,N,,,N,,,Bronze,195.00,APP-00010073,GRP-000025,Easy Settlements,Mills Oakley,,,,14/03/2025
ACT-0000075,William,Roberts,07/02/1970,william.roberts@hotmail.com,0439142415,,,31,High Road,Liverpool,NSW,2170,House,536600.00,498501.40,277022.86,0.487,Fixed,300,09/11/2013,22/12/2013,CLOSED,Weekly,729.86,92.9,Y,14210.76,,,108035.53,6482.13,4710.62,5920.10,,816635.53,,,PLAN Australia,BRK-2121,BR-002,884,0,0.00,,,50644.60,,OFF-0000075,N,N,,09/11/2018,,HL-CON-VAR,Construction Variable,Broker,Equity Release,Registered First Mortgage,CT-776119,Liverpool Council,Rural Residential,4,3,666,274,1995,N,,,Y,Robert Jones,Parent,None,0.00,APP-00010074,GRP-000025,PEXA Direct,Maurice Blackburn,09/11/2017,Refinanced,,18/03/2025
ACT-0000076,Leo,Green,04/05/1959,leo.green@gmail.com,0439838255,,,37,Main Street,Brunswick,VIC,3056,Unit,199400.00,123827.40,62463.51,0.495,Fixed,360,04/10/2011,15/11/2011,ACTIVE,Monthly,737.60,62.1,N,,,PAYG,234941.76,14096.51,5616.39,11084.90,,322234.04,,IAG,Connective,BRK-0900,BR-071,826,0,0.00,16/03/2025,737.60,5216.95,18337.53,OFF-0000076,Y,N,,04/10/2014,,HL-SMSF-VAR,SMSF Variable,Broker,Construction,Equitable Mortgage,CT-293893,Brunswick Council,Residential,4,2,549,191,2003,Y,3098.43,SP 78865,N,,,Silver,295.00,APP-00010075,GRP-000026,Settlex,Mills Oakley,,,,20/03/2025
ACT-0000077,Mason,Parker,06/11/1980,mason.parker@optusnet.com.au,0451264309,,,53,Park Way,Ringwood,VIC,3134,House,543900.00,389432.40,267559.78,0.338,Fixed,360,14/10/2017,20/11/2017,ACTIVE,Monthly,1873.02,71.6,N,,APS Federal,PAYG,,,6718.96,14294.82,3734.42,734545.37,14/01/2019,,,,BR-158,584,0,0.00,08/02/2025,1873.02,,15683.55,,Y,N,,14/10/2022,,HL-FHB-VAR,First Home Buyer Variable,Mobile,Investment,Equitable Mortgage,CT-629441,Ringwood Council,Residential,2,3,301,258,2023,N,,,N,,,None,0.00,APP-00010076,GRP-000026,Settlex,HWL Ebsworth,,,,22/03/2025
ACT-0000078,Margaret,Kelly,26/08/1983,margaret.kelly@bigpond.com,0409702686,Michael,Mitchell,172,Acacia Drive,Hawthorn,VIC,3122,House,772800.00,586555.20,416111.90,0.379,Variable,360,24/01/2017,05/03/2017,ACTIVE,Weekly,689.48,75.9,N,,,,103711.32,6222.68,3394.58,14830.12,,1084016.66,,,Connective,BRK-1198,BR-066,668,0,0.00,23/03/2025,689.48,,,,N,N,,,0.11,HL-STD-FIX,Standard Fixed,Broker,Investment,Equitable Mortgage,CT-147354,Hawthorn Council,Mixed Use,4,1,930,371,1990,N,,,N,,,Gold,395.00,APP-00010077,GRP-000026,Settlex,Slater & Gordon,,,,10/03/2025
ACT-0000079,Olivia,Peterson,06/04/1987,olivia.peterson@optusnet.com.au,0414391480,,,139,Eucalyptus Close,Ryde,NSW,2112,House,757500.00,370417.50,314919.39,0.349,Fixed,360,04/10/2024,07/11/2024,ACTIVE,Monthly,1807.57,48.9,N,,ANZ Banking Group,PAYG,114513.59,6870.82,6906.13,8247.76,49361.29,839398.06,04/06/2026,,,,BR-128,648,0,0.00,07/02/2025,1807.57,,5023.50,,Y,N,,04/10/2025,,HL-SMSF-VAR,SMSF Variable,Phone,Equity Release,Equitable Mortgage,CT-947590,Ryde Council,Residential,3,3,772,307,1965,N,,,N,,,Bronze,195.00,APP-00010078,GRP-000027,Easy Settlements,Holding Redlich,,,,03/03/2025
ACT-0000080,Nancy,Ward,21/01/1967,nancy.ward@bigpond.com,0472536114,,,166,Elizabeth Lane,Ryde,NSW,2112,Townhouse,766100.00,645056.20,486896.32,0.601,Fixed,360,21/08/2020,03/10/2020,ACTIVE,Monthly,4386.40,84.2,Y,17095.21,Woolworths Group,PAYG,,,4937.70,,45890.09,948468.77,,Suncorp,,,BR-033,392,0,0.00,12/02/2025,4386.40,,17923.53,,Y,N,,21/08/2024,,HL-PKG-FIX,Package Fixed,Mobile,Equity Release,Registered Second Mortgage,CT-061997,Ryde Council,Residential,1,2,665,212,2012,Y,1232.82,SP 30422,N,,,Platinum,595.00,APP-00010079,GRP-000027,PEXA Direct,Holding Redlich,,,,08/03/2025
ACT-0000081,Sophie,Collins,23/07/1990,sophie.collins@gmail.com,0455943775,,,66,William Close,Mount Barker,SA,5251,House,218500.00,124545.00,109639.06,0.388,Variable,360,03/07/2023,17/07/2023,ACTIVE,Fortnightly,296.61,57.0,N,,Rio Tinto,PAYG,100727.36,6043.64,,,20818.75,252345.94,,ANZ Lenders Mortgage Insurance,,,BR-142,895,0,0.00,15/03/2025,296.61,,7717.39,,Y,N,,,1.17,HL-IO-VAR,Interest Only Variable,Online,Purchase,Equitable Mortgage,CT-762295,Mount Barker Council,Rural Residential,3,1,974,362,1964,N,,,N,,,Platinum,595.00,APP-00010080,GRP-000027,PEXA Direct,Mills Oakley,,,,26/03/2025
ACT-0000082,Michael,Murphy,02/09/1958,michael.murphy@bigpond.com,0412642745,Lisa,Wilson,29,George Parade,Elizabeth,SA,5112,House,530300.00,273634.80,229976.02,0.590,Split,360,03/07/2023,09/08/2023,ACTIVE,Monthly,1834.90,51.6,N,,,,,,3850.09,,6985.71,633728.14,03/09/2023,ANZ Lenders Mortgage Insurance,,,BR-120,516,0,0.00,06/03/2025,1834.90,,23725.69,,Y,N,,,,HL-SPL-MIX,Split Rate Mix,Branch,Refinance,Registered Second Mortgage,CT-402196,Elizabeth Council,Residential,3,2,772,329,2000,N,,,N,,,None,0.00,APP-00010081,GRP-000028,Settlex,HWL Ebsworth,,,Manual review required,26/03/2025
ACT-0000083,Isabella,Robinson,07/02/1987,isabella.robinson@gmail.com,0464552758,,,94,High Boulevard,Carlton,VIC,3053,House,859900.00,449727.70,380029.04,0.581,Variable,360,26/05/2022,23/06/2022,ACTIVE,Monthly,2985.29,52.3,N,,Santos Limited,PAYG,,,,,,1008292.21,,ANZ Lenders Mortgage Insurance,,,BR-072,691,0,0.00,14/01/2025,2985.29,,,,N,N,,,0.38,HL-INV-FIX,Investor Fixed,Phone,Investment,Registered Second Mortgage,CT-614316,Carlton Council,Rural Residential,4,3,631,256,2023,N,,,N,,,Gold,395.00,APP-00010082,GRP-000028,Nationwide Conveyancing,HWL Ebsworth,,,,16/03/2025
ACT-0000084,Sophie,Adams,17/12/1995,sophie.adams@bigpond.com,0417141748,,,137,King Court,Frankston,VIC,3199,House,777200.00,604661.60,454993.06,0.330,Split,360,27/04/2020,31/05/2020,ACTIVE,Monthly,2874.40,77.8,N,,,PAYG,219620.16,13177.21,5813.55,,39772.60,1004951.68,27/05/2021,,Finsure,BRK-0434,BR-170,595,0,0.00,14/02/2025,2874.40,,,,N,N,,,,HL-LDL-VAR,Low Doc Variable,Broker,Refinance,Equitable Mortgage,CT-180826,Frankston Council,Rural Residential,4,1,842,319,2024,N,,,N,,,Platinum,595.00,APP-00010083,GRP-000028,PEXA Direct,Gadens,,,,18/03/2025
ACT-0000085,Richard,Cox,09/09/1961,richard.cox@optusnet.com.au,0483174996,,,14,Railway Road,Southbank,QLD,4101,House,682100.00,475423.70,329656.14,0.591,Variable,180,18/03/2017,02/04/2017,ACTIVE,Monthly,4297.90,69.7,N,,Stockland,PAYG,174772.11,10486.33,6411.86,588.18,,956026.82,18/04/2018,CommInsure,,,BR-138,429,0,0.00,09/03/2025,4297.90,,,,N,N,,,0.06,HL-IO-VAR,Interest Only Variable,Online,Purchase,Registered Second Mortgage,CT-300806,Southbank Council,Mixed Use,2,2,467,188,2013,N,,,N,,,Platinum,595.00,APP-00010084,GRP-000029,Easy Settlements,Mills Oakley,,,,27/03/2025
ACT-0000086,Grace,Johnson,06/06/1990,grace.johnson@gmail.com,0428477983,,,20,Smith Crescent,Werribee,VIC,3030,Land,300800.00,153708.80,125991.92,0.471,Split,360,09/12/2020,29/12/2020,ACTIVE,Fortnightly,409.82,51.1,N,,,,179965.35,10797.92,2762.98,,42282.02,368628.46,09/10/2022,Allianz Australia,Connective,BRK-2605,BR-052,578,0,0.00,15/03/2025,409.82,,15228.20,,Y,N,,,,HL-BRG-VAR,Bridging Variable,Broker,Construction,Registered First Mortgage,CT-183446,Werribee Council,Residential,,,807,,,N,,,N,,,None,0.00,APP-00010085,GRP-000029,Conveyancing Works,Gadens,,,Manual review required,13/03/2025
ACT-0000087,Robert,Edwards,17/04/1965,robert.edwards@icloud.com,0431318311,,,192,Eucalyptus Place,Southbank,QLD,4101,House,608900.00,471288.60,430018.61,,Variable,300,08/04/2024,28/04/2024,ACTIVE,Weekly,642.00,77.4,N,,,Contract,,,2689.51,,,660670.34,,Suncorp,Connective,BRK-3949,BR-151,560,0,0.00,19/01/2025,642.00,,,,N,N,,,1.09,HL-PKG-FIX,Package Fixed,Broker,Renovation,Registered First Mortgage,CT-564823,Southbank Council,Rural Residential,3,2,867,280,2010,N,,,N,,,Platinum,595.00,APP-00010086,GRP-000029,Easy Settlements,HWL Ebsworth,,,,25/03/2025
ACT-0000088,Sarah,Taylor,01/01/1983,sarah.taylor@gmail.com,0480919309,Logan,Robinson,,,Blacktown,NSW,,Townhouse,404600.00,267440.60,234223.71,0.558,Variable,360,08/07/2022,18/08/2022,ACTIVE,Monthly,1725.71,66.1,N,,Coles Group,Contract,204111.52,12246.69,6778.13,14544.55,,481480.83,08/02/2023,Suncorp,AFG,BRK-2981,BR-134,375,0,0.00,21/02/2025,1725.71,25114.72,,OFF-0000088,N,N,,,0.48,HL-IO-VAR,Interest Only Variable,Broker,Equity Release,Registered First Mortgage,CT-893637,Blacktown Council,Mixed Use,3,3,456,136,1991,Y,1643.05,SP 56178,N,,,Silver,295.00,APP-00010087,GRP-000030,Nationwide Conveyancing,Slater & Gordon,,,,28/03/2025
ACT-0000089,Elizabeth,Richardson,19/08/1966,elizabeth.richardson@gmail.com,0476904408,Alexander,Richardson,54,Eucalyptus Crescent,Springfield,QLD,4300,House,638100.00,564080.40,431053.93,0.483,Fixed,180,25/02/2020,23/03/2020,ACTIVE,Fortnightly,2167.56,88.4,Y,16048.65,University of Sydney,PAYG,101494.82,6089.69,3888.58,8003.49,,784006.56,,QBE Insurance,Liberty Network Services,BRK-4361,BR-121,811,0,0.00,16/02/2025,2167.56,,,,N,N,,25/02/2023,,HL-IO-VAR,Interest Only Variable,Broker,Equity Release,Equitable Mortgage,CT-960062,Springfield Council,Rural Residential,3,3,451,228,2005,N,,,N,,,Silver,295.00,APP-00010088,GRP-000030,Nationwide Conveyancing,Maurice Blackburn,,,,06/03/2025
ACT-0000090,Chloe,Murphy,11/01/1972,chloe.murphy@outlook.com,0402595022,William,Richardson,137,George Parade,Launceston,TAS,7250,House,456600.00,336514.20,245459.33,0.592,Variable,360,24/07/2019,20/08/2019,ACTIVE,Monthly,2262.84,73.7,N,,Bunnings,PAYG,172747.70,10364.86,,,3987.92,599402.05,24/10/2019,Genworth,Connective,BRK-2158,BR-086,768,0,0.00,09/03/2025,2262.84,,,,N,N,,,0.26,HL-SMSF-VAR,SMSF Variable,Broker,Construction,Registered First Mortgage,CT-533117,Launceston Council,Residential,1,3,966,285,2014,N,,,N,,,None,0.00,APP-00010089,GRP-000030,PEXA Direct,Mills Oakley,,,,21/03/2025
ACT-0000091,Lucas,Gray,25/07/1963,lucas.gray@yahoo.com.au,0488240601,,,99,King Close,Toorak,VIC,3142,House,899500.00,771771.00,450597.52,,Variable,360,19/12/2014,07/01/2015,ACTIVE,Monthly,10357.19,85.8,,,,,75285.09,4517.11,6386.98,9651.49,4497.44,1323185.62,19/03/2016,IAG,,,BR-150,368,0,0.00,23/02/2025,10357.19,,13484.76,,Y,N,,,0.57,HL-IO-VAR,Interest Only Variable,Mobile,Renovation,Equitable Mortgage,CT-693444,Toorak Council,Mixed Use,2,1,529,106,1961,N,,,N,,,Bronze,195.00,APP-00010090,GRP-000031,Settlex,Mills Oakley,,,,10/03/2025
ACT-0000092,Sophie,Cox,08/12/1987,sophie.cox@icloud.com,0422232475,Michael,Cox,3,Wattle Parade,Springfield,QLD,4300,House,358100.00,271797.90,177760.03,1.441,Fixed,360,18/12/2016,24/01/2017,ACTIVE,Monthly,3939.97,75.9,N,,Afterpay,PAYG,121303.24,7278.19,4514.90,,18192.40,524383.56,,,,,BR-141,460,0,0.00,07/01/2025,3939.97,,,,N,N,,18/12/2017,,HL-STD-FIX,Standard Fixed,Mobile,Refinance,Registered First Mortgage,CT-960605,Springfield Council,Mixed Use,4,3,226,278,1964,N,,,N,,,Platinum,595.00,APP-00010091,GRP-000031,Conveyancing Works,Maurice Blackburn,,,,04/03/2025
ACT-0000093,William,Thomas,1969-06-10,william.thomas@gmail.com,0414914920,,,34,Eucalyptus Terrace,Brighton,VIC,3186,House,621800.00,411009.80,266809.75,0.542,Variable,360,2015-07-20,2015-08-26,DISCHARGED,Monthly,2599.55,66.1,N,,VIC Department of Education,PAYG,,,5124.06,,47921.53,909198.78,2016-04-20,Suncorp,,,BR-187,321,0,0.00,,,,3438.21,,Y,N,,,1.30,HL-SMSF-VAR,SMSF Variable,Phone,Equity Release,Registered First Mortgage,CT-756032,Brighton Council,Mixed Use,2,1,723,259,1975,N,,,N,,,Platinum,595.00,APP-00010092,GRP-000031,Easy Settlements,Holding Redlich,2016-07-20,Refinanced,,2025-03-15
ACT-0000094,Mary,Thompson,01/10/1998,mary.thompson@bigpond.com,0445300847,Robert,Howard,124,George Crescent,Paddington,QLD,4064,Townhouse,401600.00,321280.00,229255.14,0.624,Variable,360,20/07/2017,12/08/2017,ACTIVE,Monthly,2243.18,80.0,N,,,,236364.52,14181.87,2526.02,9028.15,,552079.46,20/01/2019,QBE Insurance,Aussie Home Loans,BRK-3068,BR-036,813,0,0.00,14/03/2025,2243.18,,,,N,N,,,0.76,HL-IO-FIX,Interest Only Fixed,Broker,Investment,Registered First Mortgage,CT-826540,Paddington Council,Mixed Use,3,1,496,204,2001,N,,,N,,,Gold,395.00,APP-00010093,GRP-000032,PEXA Direct,Gadens,,,Manual review required,09/03/2025
ACT-0000095,Mary,Baker,05/04/1976,mary.baker@gmail.com,0452584919,James,Baker,4,Bridge Parade,Mosman,NSW,2088,Townhouse,303900.00,288705.00,242602.97,0.438,Variable,360,03/01/2022,15/02/2022,ACTIVE,Fortnightly,736.71,95.0,Y,7368.48,,,122623.35,7357.40,3706.54,,4202.36,359560.79,,,,,BR-185,765,0,0.00,22/01/2025,736.71,,,,N,N,,,1.24,HL-SMSF-VAR,SMSF Variable,Phone,Purchase,Registered First Mortgage,CT-043445,Mosman Council,Residential,4,3,985,112,1989,N,,,Y,Nancy Williams,Parent,Bronze,195.00,APP-00010094,GRP-000032,Settlex,Gadens,,,,28/03/2025
ACT-0000096,Sarah,White,20/03/1982,sarah.white@yahoo.com.au,0475598743,,,198,,,NSW,2134,House,578800.00,353646.80,246189.25,0.408,Variable,360,01/06/2016,04/07/2016,ACTIVE,Fortnightly,865.32,61.1,N,,Medibank Private,Contract,69525.59,4171.54,6752.90,14726.64,27989.97,847527.93,,ANZ Lenders Mortgage Insurance,,,BR-090,747,0,0.00,11/02/2025,865.32,,,,N,Y,01/06/2020,,0.30,HL-STD-FIX,Standard Fixed,Branch,Construction,Registered First Mortgage,CT-636957,Burwood Council,Rural Residential,1,1,347,163,1960,N,,,N,,,None,0.00,APP-00010095,GRP-000032,Settlex,Gadens,,,,10/03/2025
ACT-0000097,Mia,Davis,09/09/1971,mia.davis@outlook.com,0407793860,,,76,Elizabeth Place,Sutherland,NSW,2232,Townhouse,435700.00,284947.80,229166.71,0.359,Variable,360,17/02/2022,03/03/2022,ACTIVE,Fortnightly,651.22,65.4,N,,Deloitte Australia,Contract,200463.89,12027.83,7579.77,5525.74,33521.03,519843.03,17/08/2022,Helia,,,BR-171,617,0,0.00,24/03/2025,651.22,,,,N,Y,17/02/2024,,0.80,HL-PKG-FIX,Package Fixed,Phone,Investment,Equitable Mortgage,CT-385271,Sutherland Council,Residential,2,3,262,198,1986,N,,,N,,,Platinum,595.00,APP-00010096,GRP-000033,Easy Settlements,Maurice Blackburn,,,,12/03/2025
ACT-0000098,Sandra,Campbell,03/01/1979,sandra.campbell@gmail.com,0494366894,,,,,,VIC,3122,House,582700.00,435276.90,370669.56,,Variable,180,26/06/2022,19/07/2022,ACTIVE,Monthly,3763.88,74.7,N,,,,227289.37,13637.36,4094.35,1546.42,15725.14,675290.25,26/05/2024,,,,BR-184,644,0,0.00,11/01/2025,3763.88,,,,N,N,,,1.43,HL-STD-VAR,Standard Variable,Branch,Construction,Registered Second Mortgage,CT-245108,Hawthorn Council,Mixed Use,1,1,946,273,1979,N,,,N,,,Gold,395.00,APP-00010097,GRP-000033,Settlex,Holding Redlich,,,,27/03/2025
ACT-0000099,Ella,Baker,15/11/1997,ella.baker@yahoo.com.au,0480866782,,,76,Jacaranda Place,Blacktown,NSW,2148,House,634000.00,327778.00,213847.29,,Variable,360,05/08/2016,01/09/2016,ACTIVE,Monthly,2153.15,51.7,N,,Fortescue Metals,PAYG,239187.75,14351.26,5127.55,1559.32,,921617.77,05/09/2017,,Connective,BRK-4669,BR-116,686,0,0.00,07/02/2025,2153.15,20822.17,,OFF-0000099,N,N,,,0.46,HL-SMSF-VAR,SMSF Variable,Broker,Investment,Registered Second Mortgage,CT-670306,Blacktown Council,Residential,2,1,790,266,1989,N,,,Y,Zoe Jones,Parent,None,0.00,APP-00010098,GRP-000033,Easy Settlements,Maurice Blackburn,,,,13/03/2025
ACT-0000100,Mia,Richardson,01/04/1970,mia.richardson@gmail.com,0434344079,Jack,Richardson,96,King Boulevard,Tuggeranong,ACT,2900,House,611700.00,434918.70,280568.85,0.589,Variable,360,06/04/2015,20/04/2015,CLOSED,Monthly,2914.76,71.1,N,,Atlassian,Contract,104589.27,6275.36,4314.36,11978.87,42663.68,926022.12,06/10/2016,ANZ Lenders Mortgage Insurance,,,BR-056,322,0,0.00,,,,14435.72,,Y,N,,,1.13,HL-PKG-FIX,Package Fixed,Phone,Renovation,Registered Second Mortgage,CT-282599,Tuggeranong Council,Residential,3,1,226,118,2021,N,,,N,,,None,0.00,APP-00010099,GRP-000034,Conveyancing Works,Gadens,06/04/2016,Transferred,,11/03/2025
